x y
709.1077080039878 1296.9026230400113
205.55226993342995 604.7375393893404
204.22099772342648 602.0106371811198
300.19679022201007 307.6680741521089
1402.516516696309 198.7150000042171
990.0844226548807 405.497191530494
814.1686767974343 502.46705482680926
798.6682560231842 502.7430109349647
1305.221500832946 1194.891726058715
206.04680301123037 600.9428585482774
299.6029406554257 311.9502879849508
704.1488354853859 1293.234532487938
1091.925103680694 987.0234274405334
182.01772688032727 594.0948063005718
291.58189736100894 290.75496420231264
281.68945493526604 291.38132536295944
708.3279294046199 1302.2058613952745
1112.0224969963808 991.0798950802398
706.9824324133282 1299.9703509518793
1106.403406168075 989.9049968644455
1398.1288744836127 199.1332844848498
1391.4456198340386 215.98121420835562
1388.9449718501555 206.08333098316584
1397.3224626219771 202.42707178107642
1006.1621372510285 394.6173233261838
1301.8578782623013 1218.3524307306598
696.7811553242368 1305.0569774049463
795.0014015175512 499.5432874434987
980.477885054046 403.90450161113205
990.6429278138958 396.8253390792561
1311.0027906821522 1204.031816218281
1099.8478038788583 995.3449940363038
1009.4198066484706 398.5963276827281
1303.6378624851054 1195.0929681042323
196.46400652450933 599.1609217888105
1002.7262411008504 402.2185540987251
1107.7682062378713 1010.2696724946281
802.6739728976485 508.12863922254724
1304.5046163679324 1210.3638153982292
1401.9807379087893 187.87586807627946
1101.167074380712 991.7177438706811
297.20652478119297 304.4713524080908
802.8128227570883 517.8226499658615
691.2220528345589 1307.486542397678
199.17039935351815 612.9219313778466
798.2770215687818 499.76546277383255
210.89671810449516 609.0998686745506
799.1783110187849 497.4019748609372
305.7451473697929 316.7096550150617
204.12984917075906 600.8009538331872
196.2297263684447 603.2691520745803
717.916023052581 1301.032475048977
1409.9148730366726 205.1176651196131
1115.1123584258025 995.959073012778
1084.2314491351135 1017.8021564869599
297.3341325594015 282.871034030938
994.2288980405891 385.087215033578
1102.4848119044163 1008.7676748857051
682.97827934147 1295.0887380124595
985.3315602612346 407.018121106603
1290.0794317140453 1200.6158127811343
1397.1244523062558 197.8186062152679
703.7133595710202 1306.980890685571
1007.157845304373 392.4060193170211
1306.2125937597534 1222.0884686151614
288.52430303689897 276.266316115963
285.2731978517385 296.77969862639725
807.7169445291943 504.97101477783735
1298.282953747755 1203.276969768439
786.2142039604049 502.2544456967348
707.9091051800958 1311.954283979702
797.6822383045342 511.84266845325584
1409.7019917311036 203.44556486640215
1107.55615743333 984.1395069464015
1295.0262384709395 1198.747409980863
1304.5450313925887 1201.3964722734706
312.77308627590907 302.14536393210324
201.17854423984892 614.0809284806061
1005.5274848709079 392.4488992979525
1397.5457670817564 195.91487072538317
